宿名,URL,優先オプション
川島旅館,https://www.jalan.net/yad386526/,care-kakenagashi
豊富温泉川島旅館,https://www.jalan.net/yad386526/,
ピリカレラホテル,https://www.jalan.net/yad377160/,care-bath-rent|care-private-openair
別府温泉ホテルフジヨシ,https://www.jalan.net/yad306192/,
妙見おりはし旅館,https://www.jalan.net/yad361776/,
こしかの温泉,https://www.jalan.net/yad307156/,
乗鞍高原温泉ガストホフ千石,https://www.jalan.net/yad323112/,
かんの温泉,https://www.jalan.net/yad379275/,
湯ごもりの宿アダージョ,https://www.jalan.net/yad314410/,
尾上温泉旅館紅鮎,https://www.jalan.net/yad360828/,
山田温泉旅館,https://www.jalan.net/yad315957/,
日景温泉,https://www.jalan.net/yad349835/,
駒ヶ岳温泉,https://www.jalan.net/yad316275/,
田沢温泉ますや旅館,https://www.jalan.net/yad321410/,
川湯温泉川湯観光ホテル,https://www.jalan.net/yad337273/,
帯広ふく井ホテル,https://www.jalan.net/yad363616/,
旭岳温泉 湯元湧駒荘,https://www.jalan.net/yad341740/,
神明温泉湯元すぎ嶋,https://www.jalan.net/yad321951/,
宝船温泉 湯元ことぶき,https://www.jalan.net/yad379842/,
妙見石原荘,https://www.jalan.net/yad321122/,
伊東温泉ゲストハウス倭荘,https://www.jalan.net/yad321360/,
湯田川温泉 ますや旅館,https://www.jalan.net/yad370239/,
夏瀬温泉 都わすれ,https://www.jalan.net/yad349413/,
水のみち・風のみち　湯ヶ島たつた,https://www.jalan.net/yad338409/,
ホテル1-2-3 甲府・信玄温泉,https://www.jalan.net/yad305282/,
日の出温泉,https://www.jalan.net/yad382568/,
新平湯温泉 奥飛騨百姓座敷の宿藤屋,https://www.jalan.net/yad311911/,
大洞窟の宿 湯楽亭,https://www.jalan.net/yad341506/,
霧島湯之谷山荘,https://www.jalan.net/yad337905/,
紫尾温泉旅籠しび荘,https://www.jalan.net/yad370733/,
川棚温泉旅館小天狗,https://www.jalan.net/yad345582/,
小さなオーベルジュてぃんくる,https://www.jalan.net/yad340226/,
湯岐温泉山形屋旅館,https://www.jalan.net/yad337102/,
山川温泉 華柚,https://www.jalan.net/yad388390/,
明礬温泉山田屋旅館,https://www.jalan.net/yad326852/,
奥津温泉池田屋河鹿園,https://www.jalan.net/yad326193/,
はわい温泉ビジネスホテル山本,https://www.jalan.net/yad322534/,
松之山温泉凌雲閣,https://www.jalan.net/yad323058/,
カーヴドッチヴィネスパ,https://www.jalan.net/yad327105/,
瀬波温泉大和屋旅館,https://www.jalan.net/yad333527/,
ホテリアアルト,https://www.jalan.net/yad323665/,
湯田川温泉 九兵衛旅館,https://www.jalan.net/yad338460/,
民宿たかよし,https://www.jalan.net/yad321448/,
川渡温泉 山ふところの宿みやま,https://www.jalan.net/yad399060/,
霧積温泉 金湯館,https://www.jalan.net/yad359363/,
センチュリーマリーナ函館,https://www.jalan.net/yad348892/,
ラビスタ函館ベイ,https://www.jalan.net/yad313464/,
黄金崎不老ふ死温泉,https://www.jalan.net/yad323694/,
乳頭温泉郷 鶴の湯旅館,https://www.jalan.net/yad368026/,
赤城温泉 御宿総本家,https://www.jalan.net/yad361032/,
八甲田ホテル,https://www.jalan.net/yad365022/,
藤七温泉彩雲荘,https://www.jalan.net/yad316900/,
渋御殿湯,https://www.jalan.net/yad300730/,
肘折温泉 若松屋村井六助,https://www.jalan.net/yad312770/,
上北さくら温泉,https://www.jalan.net/yad374674/,
三瓶温泉 国民宿舎さんべ荘,https://www.jalan.net/yad302744/,
日の出旅館,https://www.jalan.net/yad311581/,
ヘルシー美里,https://www.jalan.net/yad346085/,
湯布院いよとみ,https://www.jalan.net/yad320384/,
いわき湯本温泉松柏館,https://www.jalan.net/yad347399/,
伊香保温泉ぴのん,https://www.jalan.net/yad326968/,
刈羽温泉ホテルCOCORO,https://www.jalan.net/yad380705/,
伊東温泉マストランプ,https://www.jalan.net/yad343219/,
伊豆北川温泉吉祥CAREN,https://www.jalan.net/yad380349/,
明礬温泉 御宿ゑびす屋／湯屋えびす,https://www.jalan.net/yad326896/,
鳴子温泉 いさぜん旅館,https://www.jalan.net/yad328545/,
肘折温泉 元河原湯,https://www.jalan.net/yad358347/,
湯村ホテルB&B,https://www.jalan.net/yad346103/,
温泉津温泉 旅館のがわや,https://www.jalan.net/yad309711/,
紫尾温泉紫尾庵,https://www.jalan.net/yad386254/,
鶴居村温泉ホテルTAITO,https://www.jalan.net/yad322645/,
大分温泉休庵,https://www.jalan.net/yad381103/,
ホテルブルーハーバー／さごんの湯,https://www.jalan.net/yad310922/,
ポンユ三光荘,https://www.jalan.net/yad368955/,
咲花温泉碧水荘,https://www.jalan.net/yad394023/,
嬉野温泉一休荘,https://www.jalan.net/yad320331/,
塩原温泉本陣,https://www.jalan.net/yad322444/,
ＭＵＲＥ　Ｂｅｐｐｕ,https://www.jalan.net/yad302756/,care-kakenagashi
HOTEL SHIRAHAMAKAN(白浜館),https://www.jalan.net/yad316935/,care-kakenagashi
魚沼の隠れ温泉くつろぎ庵,https://www.jalan.net/yad364660/,care-kakenagashi
沓掛温泉 叶屋旅館,https://www.jalan.net/yad312080/,care-kakenagashi
奥飛騨 森の癒し もずも,https://www.jalan.net/yad356162/,care-kakenagashi
猪苗代沼尻温泉 沼尻高原ロッジ(源泉かけ流し),https://www.jalan.net/yad323981/,care-kakenagashi
黄金の湯 松代荘,https://www.jalan.net/yad328777/,care-kakenagashi
金山旅館,https://www.jalan.net/yad342618/,care-kakenagashi
酒の宿 玉城屋,https://www.jalan.net/yad337212/,care-kakenagashi
折立温泉 やまきや旅館,https://www.jalan.net/yad350426/,care-kakenagashi
別府のお宿 加賀屋,https://www.jalan.net/yad328680/,care-kakenagashi
壁湯温泉 福元屋,https://www.jalan.net/yad346611/,care-kakenagashi
つるいむら湿原温泉ホテル,https://www.jalan.net/yad347013/,care-kakenagashi
ホテル・テレーノ 気仙,https://www.jalan.net/yad311245/,care-kakenagashi
万座温泉 湯の花旅館,https://www.jalan.net/yad354031/,care-kakenagashi
伊豆・伊東温泉 大東館,https://www.jalan.net/yad319569/,care-kakenagashi
木の香り漂う美人の湯 フォンタナの丘かもう,https://www.jalan.net/yad370732/,care-kakenagashi
笛吹川温泉 坐忘,https://www.jalan.net/yad354878/,care-kakenagashi
草津温泉 源泉・大日の湯 極楽館,https://www.jalan.net/yad355776/,care-kakenagashi
那智勝浦　一の滝,https://www.jalan.net/yad390486/,
秋田協和温泉湯元四郎,https://www.jalan.net/yad350574/,
新樺川観光ホテル,https://www.jalan.net/yad386576/,
海鮮と温泉宿 海のうた,https://www.jalan.net/yad304842/,
クラウンヒルズ大分,https://www.jalan.net/yad305712/,
坂井温泉 湯本館,https://www.jalan.net/yad382402/,
岩手 須川高原温泉,https://www.jalan.net/yad383074/,
桜田温泉 山芳園,https://www.jalan.net/yad392908/,
国民宿舎鷹巣荘,https://www.jalan.net/yad318500/,
霊泉寺中屋旅館,https://www.jalan.net/yad385932/,
那覇 瀬長島ホテル,https://www.jalan.net/yad352977/,
